protocol,op_type,count,p1,p5,p10,p25,p50,p75,p90,p95,p99,p99.9
CURP-HO,strong_read,442654,2.75,12.93,22.48,50.68,54.72,77.64,90.95,99.81,124.15,164.30
CURP-HO,strong_write,28355,2.63,12.57,22.03,50.67,54.50,77.60,90.43,99.79,123.96,162.06
CURP-HO,weak_read,459805,0.04,0.05,0.06,0.15,0.43,3.95,10.89,17.41,48.61,229.96
CURP-HO,weak_write,29186,0.05,0.06,0.07,0.12,0.28,1.28,5.45,8.00,15.09,59.60
CURP-HT,strong_read,441569,50.52,50.61,50.69,50.92,53.00,75.99,79.30,82.99,105.48,143.51
CURP-HT,strong_write,28131,50.52,50.62,50.69,50.91,53.02,76.01,79.42,83.14,107.75,145.75
CURP-HT,weak_read,460943,0.04,0.04,0.05,0.11,0.32,1.83,6.59,9.50,21.71,52.75
CURP-HT,weak_write,29357,50.72,50.92,51.21,67.10,101.85,108.90,123.80,139.20,165.14,200.32
Raft-HT,strong_read,442179,55.29,62.40,76.36,96.64,111.34,150.79,171.80,185.77,217.90,240.56
Raft-HT,strong_write,28377,55.34,62.99,76.52,96.81,111.70,151.03,171.87,186.20,218.69,242.04
Raft-HT,weak_read,459942,0.08,0.11,0.13,0.20,0.70,5.42,32.52,40.14,59.99,96.20
Raft-HT,weak_write,29502,1.36,3.25,5.56,36.40,53.42,81.43,95.39,105.45,130.92,163.04
CURP (baseline),strong_read,902356,50.55,50.67,50.76,51.16,55.05,76.57,80.70,85.74,108.65,161.25
CURP (baseline),strong_write,57644,50.55,50.67,50.76,51.15,55.12,76.58,80.76,85.80,108.76,159.96
EPaxos,strong_read,902304,50.48,50.71,50.94,51.79,55.81,60.16,64.89,68.35,77.02,90.57
EPaxos,strong_write,57696,50.48,50.71,50.95,51.81,55.89,60.23,65.00,68.36,77.11,91.33
Raft,strong_read,902432,53.36,55.86,59.64,77.35,83.96,98.52,115.05,125.31,148.31,213.79
Raft,strong_write,57568,53.45,55.99,59.79,77.35,83.89,98.54,115.11,125.47,149.42,192.64
